relation,nucleus,satellite,question,answer
Cause,"This, in turn, provoked the failure of many prominent financial institutions throughout 2008, most notably Lehman Brothers,",leading to the loss of millions of jobs.,Why did the downturn in the economy lead to the loss of millions of jobs?,"This, in turn, provoked the failure of many prominent financial institutions throughout 2008, most notably Lehman Brothers."
Cause,"burst in 2007,",and the American economy slipped into a recession.,Why did the American economy slip into a recession?,Burst in 2007.
Cause,"The savings & loans and the leveraged buyout crises led to a severe depression in mid - to - late 1989,","causing a recession in 1990 - 91 ( also fueled by the oil price crisis ), whose effects lasted as late as 1994.",Why did the 1980 - 1982 recession have such severe effects?,The savings & loans and the leveraged buyout crises led to a severe depression in mid - to - late 1989.
Cause,"The 1973 oil crisis,","coupled with the rising costs of maintenance of welfare state in most countries led to a recession between 1973 and 1975, followed by a period of almost minimal growth and rising inflation and unemployment.",Why did the world economy suffer from a severe downturn between 1973 and 1975?,The 1973 oil crisis.
Cause,World War I and its aftermath led to a global nosedive in commodities,"that ruined many developing nations, while servicemen returning from the trenches found themselves with high unemployment as businesses failed, unable to transition into a peacetime economy.",Why a global downturn in the economy was called a peacetime economy?,World War I and its aftermath led to a global nosedive in commodities.
Cause,"as businesses failed,",unable to transition into a peacetime economy.,Why a peacetime economy can't many people transition to a peacetime economy?,Businesses failed.
Cause,"and was eventually replaced by the euro in 1999,","ending decades of government control of the economy,",Why did the Finnish economy lose control of its own country?,The Finnish markka was eventually replaced by the euro in 1999.
Cause,"Persistent structural and monetary policy problems had not been solved,",leaving the economy vulnerable to even mild external shocks.,Why even mild external shocks have been experienced by the Finnish economy?,Persistent structural and monetary policy problems had not been solved.
Cause,"or may result in banking crisis ( in various ways that may be for example unauthorized transformations of banks ), and further the crisis in investment and credit ;","that further could reflect on innovation and new businesses investments lessening or even shrinking,",Why may economic depression also affect new businesses investments?,"May result in banking crisis ( in various ways may be for example unauthorized transformations of banks ), and further the crisis in investment and credit."
Cause,that such technological difficult,"resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties,",Why other countries have unusually large levels of unemployment?,Such technological difficult.
Explanation,"Also, the Spanish flu pandemic of 1918 - 20 brought economic activity to a standstill",as even more people became incapacitated.,Why a Spanish flu pandemic brought economic activity to a standstill?,Even more people became incapacitated.
Explanation,"Under the first definition, each depression will always coincide with a recession,",since the difference between a depression and a recession is the severity of the fall in economic activity.,Why will a depression always coincide with a recession?,The difference between a depression and a recession is the severity of the fall in economic activity.
Contrast,"This definition also includes the economic performance of New Zealand from 1974 to 1992 and Switzerland from 1973 to the present,",although this designation for Switzerland has been controversial.,"How does the term "" Switzerland"" compare to the other countries?","This definition also includes the economic performance of New Zealand from 1974 to 1992 and Switzerland from 1973 to the present, although this designation for Switzerland has been controversial."
Contrast,U. S. President George H. W. Bush lost the 1992 election to Bill Clinton because of the domestic malady marked by the depression and increasing urban decay.,"and while his approval ratings were above 60 %,",How did the US President George H. W. Bush's approval ratings compare to the 1992 election?,"And while his approval ratings were above 60 %, U. S. President George H. W. Bush lost the 1992 election to Bill Clinton because of the domestic malady marked by the depression and increasing urban decay."
Contrast,"that ruined many developing nations,","while servicemen returning from the trenches found themselves with high unemployment as businesses failed, unable to transition into a peacetime economy.",How was the economic situation after World War I different from the one after World War I?,"A global nosedive ruined many developing nations, while servicemen returning from the trenches found themselves with high unemployment as businesses failed, unable to transition into a peacetime economy."
Contrast,"and was eventually replaced by the euro in 1999, ending decades of government control of the economy,","but also high, persistent unemployment.",How did the Finnish economy change in 1999?,"And the Finnish markka was eventually replaced by the euro in 1999, ending decades of government control of the economy, but also high, persistent unemployment."
