relation,nucleus,satellite,question,answer,distractor1,distractor2,distractor3
Cause,"This, in turn, provoked the failure of many prominent financial institutions throughout 2008, most notably Lehman Brothers,",leading to the loss of millions of jobs.,Why did the downturn in the economy lead to the loss of millions of jobs?,"This, in turn, provoked the failure of many prominent financial institutions throughout 2008, most notably Lehman Brothers.",The 1973 oil crisis and the rising costs of maintenance of welfare state in most countries led to a gradual deterioration of the world economy.,The oil price rises and economic overheating caused by deregulation led to a gradual deterioration of the world economy.,The Japanese government had not solved structural and monetary policy problems.
Cause,"burst in 2007,",and the American economy slipped into a recession.,Why did the American economy slip into a recession?,Burst in 2007.,The oil price rises and the deregulation caused a gradual deterioration of the world economy.,The oil price rises and the deregulation caused a gradual deterioration of the world economy.,The oil price rises and the deregulation caused a gradual deterioration of the world economy.
Cause,"The savings & loans and the leveraged buyout crises led to a severe depression in mid - to - late 1989,","causing a recession in 1990 - 91 ( also fueled by the oil price crisis ), whose effects lasted as late as 1994.",Why did the 1980 - 1982 recession have such severe effects?,The savings & loans and the leveraged buyout crises led to a severe depression in mid - to - late 1989.,The 1973 oil crisis and the rising costs of maintenance of welfare state led to a period of almost minimal growth and rising inflation and unemployment.,The 1973 oil crisis and the rising costs of maintenance of welfare state led to a period of almost minimal growth and rising inflation and unemployment.,The 1973 oil crisis and the rising costs of maintenance of welfare state led to a period of almost minimal growth and rising inflation and unemployment.
Cause,"The 1973 oil crisis,","coupled with the rising costs of maintenance of welfare state in most countries led to a recession between 1973 and 1975, followed by a period of almost minimal growth and rising inflation and unemployment.",Why did the world economy suffer from a severe downturn between 1973 and 1975?,The 1973 oil crisis.,The collapse of the welfare state.,The collapse of the banking system.,The collapse of the banking system.
Cause,World War I and its aftermath led to a global nosedive in commodities,"that ruined many developing nations, while servicemen returning from the trenches found themselves with high unemployment as businesses failed, unable to transition into a peacetime economy.",Why a global downturn in the economy was called a peacetime economy?,World War I and its aftermath led to a global nosedive in commodities.,The Spanish flu pandemic of 1918 - 20 brought economic activity to a standstill.,The 1973 oil crisis led to a period of almost minimal growth and rising inflation and unemployment.,The 1973 oil crisis led to a period of almost minimal growth and rising inflation and unemployment.
Cause,"as businesses failed,",unable to transition into a peacetime economy.,Why a peacetime economy can't many people transition to a peacetime economy?,Businesses failed.,People can't afford to pay for the services.,People can't afford to pay for the services.,People can't afford to pay for the services.
Cause,"and was eventually replaced by the euro in 1999,","ending decades of government control of the economy,",Why did the Finnish economy lose control of its own country?,The Finnish markka was eventually replaced by the euro in 1999.,The Finnish government had no control over the economy.,The Finnish trade deficit was too high.,The Finnish economy suffered a severe depression during and after the breakup of the Soviet Union.
Cause,"Persistent structural and monetary policy problems had not been solved,",leaving the economy vulnerable to even mild external shocks.,Why even mild external shocks have been experienced by the Finnish economy?,Persistent structural and monetary policy problems had not been solved.,The internal overheating had not been brewing throughout the 1980s.,The internal overheating had not been caused by the external shocks.,The internal overheating had not been caused by the external shocks.
Cause,"or may result in banking crisis ( in various ways that may be for example unauthorized transformations of banks ), and further the crisis in investment and credit ;","that further could reflect on innovation and new businesses investments lessening or even shrinking,",Why may economic depression also affect new businesses investments?,"May result in banking crisis ( in various ways may be for example unauthorized transformations of banks ), and further the crisis in investment and credit.",May result in new businesses investments lessening or even shrinking.,May reflect on the work of banks and reflect on the work of suppliers.,May reflect on innovation and new businesses investments lessening or shrinking.
Cause,that such technological difficult,"resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties,",Why other countries have unusually large levels of unemployment?,Such technological difficult.,The economy is not growing at all.,The digital economy is not developed.,The economy is not developed enough to support the population.
