,source_sent,question,answer,dis1,dis2,dis3
0,An economic depression is a period of carried long-term economic downturn that is the result of lowered economic activity in one major or more national economies.,What is the result of lowered economic activity in one major or more national economies?,Long-term economic downturn.,Economic depression.,Economic crisis.,Economic depression.
1,An economic depression is a period of carried long-term economic downturn that is the result of lowered economic activity in one major or more national economies.,What is the result of a long-term economic downturn?,Lowered economic activity.,Economic crisis.,Economic crisis.,Economic crisis.
2," Economic depression maybe related to one specific country where there is some economic crisis that has worsened but most often reflexes historically the American Great Depression and similar economic status that may be recognized as existing at some country, several countries or even in many countries.",What was the name of the depression that affected the US economy?,American Great Depression.,The Great Depression.,The Great Depression of the 1930s.,The Great Depression of the 1930s.
3," Economic depression maybe related to one specific country where there is some economic crisis that has worsened but most often reflexes historically the American Great Depression and similar economic status that may be recognized as existing at some country, several countries or even in many countries.",What is a period of long-term economic downturn that is the result of lowered economic activity in one major or more national economies?,Economic crisis.,Economic depression.,Economic crisis.,Economic depression.
4, It is often understood in economics that economic crisis and the following recession that maybe named economic depression are part of economic cycles where the slowdown of the economy follows the economic growth and vice versa.,What is a period of declining economic activity that is the result of lowered economic activity in one major or more national economies?,Recession.,Depression.,Stagflation.,Depression.
5, It is often understood in economics that economic crisis and the following recession that maybe named economic depression are part of economic cycles where the slowdown of the economy follows the economic growth and vice versa.,What is a period of long-term economic downturn that is the result of lowered economic activity in one major or more national economies?,Economic cycles.,Economic crises.,Economic depressions.,Economic crises.
6," It is a result of more severe economic problems or a downturn than the recession itself, which is a slowdown in economic activity over the course of the normal business cycle of growing economy.",What is a sign of an economic depression?,Severe economic problems.,Economic growth.,A drop in unemployment.,A drop in the stock market.
7," It is a result of more severe economic problems or a downturn than the recession itself, which is a slowdown in economic activity over the course of the normal business cycle of growing economy.",What is a recession?,Slowdown in economic activity.,Economic growth.,Economic crisis.,Economic crisis.
8," It is a result of more severe economic problems or a downturn than the recession itself, which is a slowdown in economic activity over the course of the normal business cycle of growing economy.",What is a slowdown in economic activity over the course of a growing economy?,Normal business cycle.,Economic depression.,Economic crisis.,Economic depression.
9,"

Economic depressions maybe also characterized by their length or duration, and maybe showing increases in unemployment, larger increases in unemployment or even abnormally large levels of unemployment (as with for example some problems in Japan in incorporating digital economy, that such technological difficult resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties, with having signs of financial crisis, that may also reflect on the work of banks, or may result in banking crisis (in various ways that may be for example unauthorized transformations of banks), and further the crisis in investment and credit; that further could reflect on innovation and new businesses investments lessening or even shrinking, or buyers dry up in recession and suppliers cut back on production and investment in technology, in financial crisis that may be more country defaults or debt problems, and further in feared businesses bankruptcies, and overall business slowdown.",What is a sign of an economic depression?,Unemployment rates.,Economic growth.,The decline of GDP.,The increase of inflation.
