,source_sent,question,answer,dis1,dis2,dis3
0,"Personality is any person's collection of interrelated behavioral, cognitive and emotional patterns that comprise a person’s unique adjustment to life.",What is a person's collection of?,"Interrelated behavioral, cognitive and emotional patterns.",Personality traits.,"Interrelated behavioral, cognitive and emotional patterns.",Interrelated cognitive and emotional patterns.
1,"Personality is any person's collection of interrelated behavioral, cognitive and emotional patterns that comprise a person’s unique adjustment to life.",What is a person's unique ability to do?,Adjustment to life.,The ability to make decisions.,The ability to control emotions.,The ability to make decisions.
2," These interrelated patterns are relatively stable, but can change over long time periods.",What do most theories view personality as?,"Relatively stable, but can change.","Generally stable, but subject to change.","Generally stable, but subject to change.","Generally stable, but subject to change."
3,"

Although there is no consensus definition of personality, most theories focus on motivation and psychological interactions with one's environment.",What is the main focus of most theories of personality?,Motivation and psychological interactions.,The influence of culture on personality.,The relationship between personality and environment.,The influence of personality traits on social relationships.
4," Trait-based personality theories, such as those defined by Raymond Cattell, define personality as traits that predict an individual's behavior.",What is Raymond Cattell's theory?,Trait-based personality theories.,Personality traits are determined by the environment.,Personality traits are determined by the genetics.,Personality traits are determined by the environment.
5," Trait-based personality theories, such as those defined by Raymond Cattell, define personality as traits that predict an individual's behavior.",Who defined personality as traits that predict an individual's behavior?,Raymond Cattell.,James.,Judith Rich.,Thomas Jefferson.
6," These interrelated patterns are relatively stable, but can change over long time periods.",What do most theories view personality as?,Relatively stable.,Generally stable.,Generally unstable.,Generally stable.
7,"

The study of the psychology of personality, called personality psychology, attempts to explain the tendencies that underlie differences in behavior.",What is personology the study of?,Psychology of personality.,The development of personality.,The development of personality.,The development of personality.
8,"

The study of the psychology of personality, called personality psychology, attempts to explain the tendencies that underlie differences in behavior.",What is the branch of psychology that studies personality?,Personality psychology.,Personality theory.,Personality development.,Personality assessment.
9," Psychologists have taken many different approaches to the study of personality, including biological, cognitive, learning, and trait-based theories, as well as psychodynamic, and humanistic approaches.",What are some of the theories used to study personality?,"Biological, cognitive, learning, and trait-based theories.","Biological, cognitive, learning, and trait-based theories.","Biological, cognitive, learning, and trait-based theories.","Biological, cognitive, learning, and trait-based theories."
10," Psychologists have taken many different approaches to the study of personality, including biological, cognitive, learning, and trait-based theories, as well as psychodynamic, and humanistic approaches.",What is another name for personology?,Psychodynamic.,Psychological.,Psychological.,Psychological.
