source_sent,question,answer
"Personalized learning, individualized instruction, personal learning environment and direct instruction all refer to efforts to tailor education to meet the different needs of students.","What do personalized learning, personal learning environment, and direct instruction all refer to efforts to tailor education to meet?",Different needs of students.
"

The use of the term ""personalized learning"" dates back to at least the early 1960s, but there is no widespread agreement on the definition and components of a personal learning environment.","When did the term ""personalized learning"" date back to?",Early 1960s.
 Even enthusiasts for the concept admit that personal learning is an evolving term and doesn't have any widely accepted definition.,Is personalized learning a widely accepted term?,Doesn't have any widely accepted definition.
"

In 2005, Dan Buckley defined two ends of the personalized learning spectrum: ""personalization for the learner"", in which the teacher tailors the learning, and ""personalization by the learner"", in which the learner develops skills to tailor his own learning.","Who defines personalized learning as ""personalization for the learner""?",Dan Buckley.
"

In 2005, Dan Buckley defined two ends of the personalized learning spectrum: ""personalization for the learner"", in which the teacher tailors the learning, and ""personalization by the learner"", in which the learner develops skills to tailor his own learning.",What does personalized learning mean?,"""personalization for the learner""."
"

In 2005, Dan Buckley defined two ends of the personalized learning spectrum: ""personalization for the learner"", in which the teacher tailors the learning, and ""personalization by the learner"", in which the learner develops skills to tailor his own learning.",What does personalized learning mean?,"""personalization by the learner""."
"

The United States National Education Technology Plan 2017 defines personalized learning as follows:
Personalized learning refers to instruction in which the pace of learning and the instructional approach are optimized for the needs of each learner.",What defines personalized learning as follows?,United States National Education Technology Plan 2017.
"

The United States National Education Technology Plan 2017 defines personalized learning as follows:
Personalized learning refers to instruction in which the pace of learning and the instructional approach are optimized for the needs of each learner.",What is optimized for the needs of each learner?,Pace of learning.
" In addition, learning activities are meaningful and relevant to learners, driven by their interests, and often self-initiated.","What is the meaning of ""personalized learning""?",Meaningful and relevant to learners.
"

According to researcher Eduard Pogorskiy:
ICT can be a powerful tool for personalized learning as it allows learners access to research and information, and provides a mechanism for communication, debate, and recording learning achievements.",Who said that ICT can be a powerful tool for personalized learning?,Eduard Pogorskiy.
"

According to researcher Eduard Pogorskiy:
ICT can be a powerful tool for personalized learning as it allows learners access to research and information, and provides a mechanism for communication, debate, and recording learning achievements.",What is ICT?,Powerful tool for personalized learning.
 Narrowing personalized learning to its digital form also raises the concern of the echo chamber effect emerging in (hyper)personalized online experiences.,What effect is emerging in hyper-personalized online experiences?,Echo chamber effect.
"

Proponents of personalized learning say that many elements of curriculum, assessment, and instructional design must be present in classrooms for students to succeed and often use software systems to manage and facilitate student-led instruction.","Who says that many elements of curriculum, assessment, and instructional design must be present in classrooms for students to succeed?",Proponents of personalized learning.
""" Conferring is a process in which this can be accomplished.","What is the term for a regular, goal-oriented meeting between teacher and student?",Conferring.
" Psychologist Lev Vygotski has defined the ZPD as ""the distance between the actual developmental level as determined by independent problem solving and the level of potential development as determined through problem solving under adult guidance or in collaboration with more capable peers"".",Who defined ZPD as the distance between the actual developmental level as determined by independent problem solving and the level of potential development?,Lev Vygotski.
" The idea of providing feedback to advance student learning is best understood in the framework of the ""zone of proximal development"" or ZPD.",What does ZPD stand for?,Zone of proximal development.
" For example, a student may be working on double digit addition.",What is an example of a student who is incapable of reaching a higher level of learning?,Double digit addition.
"

Conferring first gained prominence in the book One to one: the art of conferring with young writers by Lucy Calkins, Amanda Hartman, and Zoe Ryder White.","Who wrote ""One to one: the art of conferring with young writers""?",Lucy Calkins.
""" Calkins believed that there were three main components to every conferring session: Research, Decide, and Teach.",What are the three components of every conferring session?,"Research, Decide, and Teach."
,What are the three components of a conferring session?,"Research, Decide, Teach, Record."
"

Using a mix method case study approach in observing a group of 4th grade students, Javaye Devette Stubbs posed the question: ""How does the implementation of one-on-one conferring promote higher order thinking skills in students with difficulties in reading?",Who observed a group of 4th grade students?,Javaye Devette Stubbs.
""" The results from her pre and post-test found that ""even those with reading difficulties did show a significant gain in higher order thinking skills"".",What did ELLs show gains in higher order thinking skills with?,Reading difficulties.
" In a separate study, the educator Antony Smith examined the effectiveness of using teacher-student writing conference for English language learners (ELLs).",Who examined the effectiveness of teacher-student writing conference for English language learners?,Antony Smith.
" In a separate study, the educator Antony Smith examined the effectiveness of using teacher-student writing conference for English language learners (ELLs).",What does ELL stand for?,English language learners.
"

Alfie Kohn wrote that while personalized learning may sound like a useful strategy for education, in practice it is mostly just about selling technology products.",Who argued that personalized learning is mostly about selling technology products?,Alfie Kohn.
"

Alfie Kohn wrote that while personalized learning may sound like a useful strategy for education, in practice it is mostly just about selling technology products.",What is personalized learning mostly about in practice?,Selling technology products.
"""

Dr. Ces'Ari Garcia-Delmuro advocated in her research on personalized learning for other researchers to continue including teacher voice in their studies of personalized learning programs as a way to improve these programs for teachers and students.",Who advocated for teachers to include teacher voice in their research on personalized learning?,Ces'Ari Garcia-Delmuro.
" Furthermore, donors that are giving to the advancement of personalized learning need to consult new research to ensure that they are donating to programs that benefit all students including those who belong to vulnerable populations (students in special education, bilingual emergent students, and students of low socioeconomic status), not just those students who are able to self-direct.",What type of students do personalized learning programs benefit?,Vulnerable populations.
" Because these programs are still relatively new, it would be helpful to understand the perceptions of teachers who are using these programs for five years or longer to continue assisting teacher and school sites as they mature in their personalized learning use.",What can be used to determine the effectiveness of personalized learning?,Perceptions of teachers.
