relation,nucleus,satellite,question,answer,distractor1,distractor2,distractor3
Cause,"Greece's high amounts of sovereign debt precipitated the crisis,",and the poor performance of its economy,Why did Greece economy suffer?,Greece's high amounts of sovereign debt precipitated the crisis.,The country saw an almost 20 % drop in economic output.,The country saw an almost 20 % drop in economic output.,The country saw an almost 20 % drop in economic output.
Cause,"when every bank stopped payment in gold and silver coinage. The Panic was followed by a five - year depression, with the failure of banks and record high unemployment levels.","Starting with the adoption of the gold standard in Britain and the United States, the Long Depression ( 1873 - 1896 ) was indeed longer than what is now referred to as the Great Depression,",Why did the Great Depression burst?,"Every bank stopped payment in gold and silver coinage. The Panic was followed by a five - year depression, with the failure of banks and record high unemployment levels.",The Ming Empire of China went bankrupt and the Stuart Monarchy fought a civil war on three fronts.,"The Panic of 1837 was an American financial crisis, built on a speculative real estate market.","The Panic of 1837 was an American financial crisis, built on a speculative real estate market."
Cause,"resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties,","with having signs of financial crisis,",Why are some countries with signs of financial crisis?,"Resulting in very large unemployment rates or lack of good social balance in employment among population, lesser revenues for businesses, or other economic difficulties.",Having a significant and sustained shortfall of the ability to purchase goods relative to the amount that could be produced using current resources and technology.,Having a significant and sustained shortfall of the ability to purchase goods relative to the amount that could be produced using current resources and technology.,Having significant and sustained shortfall of the ability to purchase goods relative to the amount that could be produced using current resources and technology.
Explanation,"Due to the lack of an agreed definition and the strong negative associations, the characterization of any period as a "" depression "" is contentious.","The term was frequently used for regional crises from the early 19th century until the 1930s, and for the more widespread crises of the 1870s and 1930s,","Why is the term "" depression"" often used?","The term was frequently used for regional crises from the early 19th century until the 1930s, and for the more widespread crises of the 1870s and 1930s.","The term was commonly used for regional crises from the early 19th century until the 1930s, and for the more widespread crises of the 1870s and 1930s.","The term was frequently used for regional crises from the early 19th century until the 1930s, and for the more widespread crises of the 1870s and 1930s.","The term was frequently used for regional crises from the early 19th century until the 1930s, and for the more widespread crises of the 1870s and 1930s."
Contrast,"Between 1929 and 1933, the gross national product of the United States decreased by 33 %",while the rate of unemployment increased to 25 % ( with industrial unemployment alone rising to approximately 35 % -,How was the unemployment rate of the United States different between 1929 and 1933?,"Between 1929 and 1933, the gross national product of the United States decreased by 33 % while the rate of unemployment increased to 25 % ( with industrial unemployment alone rising to approximately 35.","Between 1929 and 1933, the gross national product of the United States decreased by 33 % while the rate of unemployment increased to 25 % ( with industrial unemployment alone rising to approximately 25.","Between 1929 and 1933, the gross national product of the United States decreased by 33 % while the rate of unemployment increased to 25 % ( with industrial unemployment alone rising to approximately 25.","Between 1929 and 1933, the gross national product of the United States decreased by 33 % while the rate of unemployment increased to 25 % ( with industrial unemployment alone rising to approximately 25."
Contrast,but shallower in some sectors.,Many who lived through it regarded it to have been worse than the 1930s depression at times.,How was the Great Depression of 1930s different?,But shallower in some sectors. Many who lived through it regarded it to have been worse than the 1930s depression at times.,But worse in all sectors. Many who lived through it regarded it to have been worse than the 1930s depression at times.,But worse in all sectors. Many who lived through it regarded it to have been worse than the 1930s depression at times.,But worse in all sectors. Many who lived through it regarded it to have been worse than the 1930s depression at times.
Contrast,"with the episode instead being referred to by other terms, such as the "" Great Recession "".","but this terminology is not widely used,",How is the 2008 - 2009 economic cycle referred to as a depression?,"But this terminology is not widely used, with the episode instead being referred to by other terms, such as the "" Great Recession.",The term is commonly used for regional crises from the early 19th century until the 1930s.,"The term is used to refer to "" recessions "", with the 1970s global crisis referred to as "" stagflation "".","The term is used to refer to financial crises, but not to economic crises."
Contrast,but it does also reflect that the economic cycle - both in the United States and in most OECD countries - though not in all - has been more moderate since 1945.,"There have been many periods of prolonged economic underperformance in particular countries / regions since 1945,",How is the economic cycle different since 1945?,But it does also reflect that the economic cycle - both in the United States and in most OECD countries - though not in all - has been more moderate since 1945. There have been many periods of prolonged economic underperformance in particular countries / regions since 1945.,"It has been a decline in the use of "" panic "" to refer to financial crises.","It has been a decline in the use of "" panic "" to refer to financial crises.","It has been a decline in the use of "" panic "" to refer to financial crises."
Contrast,Some economists refer only to the period when economic activity is declining.,"The more common use, however, also encompasses the time",How is the duration of a recession different?,"Some economists refer only to the period when economic activity is declining. The more common use, however, also encompasses the time.",The duration of a recession is always the same as that of a recession starting the same date.,The duration of a recession is always the same as that of a recession starting the same date.,The duration of a recession is always the same as that of a depression starting the same date.
Manner-Means,to purchase goods,relative to the amount,How is a period of shortfall in the ability to purchase goods marked?,Relative to the amount.,Depending on the amount of current resources and technology.,Depending on the number of goods produced.,Depending on the number of goods produced.
Temporal,"This depression is generally considered to have begun with the Wall Street Crash of 1929,",and the crisis quickly spread to other national economies.,"After the Great Depression of the 1930s, what happened to the US?",The crisis quickly spread to other national economies.,The gross national product of the US decreased by 33 %.,The rate of unemployment increased to 25 %.,The gold standard was adopted in Britain and the US.
Temporal,when every bank stopped payment in gold and silver coinage.,"The Panic was followed by a five - year depression, with the failure of banks and record high unemployment levels.",After the Great Depression?,"The Panic was followed by a five - year depression, with the failure of banks and record high unemployment levels.",The Panic was a longer depression than the later Great Depression.,The Panic was a booming economy in the United States.,The Panic was a long - term depression.
