relation,nucleus,satellite,question,answer,distractor1,distractor2,distractor3
Cause,"but does not presuppose thought,",and thus cannot be within the thinking thing.,Why can the passive faculty not be within the thinking thing?,The passive faculty does not presuppose thought.,The passive faculty does not produce ideas.,The passive faculty does not presuppose thought.,The passive faculty does not produce ideas.
Cause,because he thought his argument was sufficient but not compelling.,Hume excluded personal identity from his opus An Inquiry Concerning Human Understanding,Why did Hume exclude personal identity from his opus An Inquiry Concerning Human Understanding?,He thought his argument was sufficient but not compelling.,He thought personal identity was a term to describe the cohesion of inner lives.,He thought personal identity was a term to describe the cohesion of inner lives.,He thought personal identity was a term to describe the cohesion of inner lives.
Cause,"and maybe possessed in different proportions on a continuum,",and thus characterize the personality of philosophers of each camp.,Why did James characterize the personality of each camp?,Maybe possessed in different proportions on a continuum.,"Being easily victimized, easily offended, indecisive, fearful, rigid, inhibited.",Being over - controlled and vulnerable.,Being over - controlled and vulnerable.
Cause,"Studies have identified cultural differences in personality traits such as extraversion, agreeableness, and conscientiousness,","indicating that culture influences personality development ( Allik & McCrae, 2004 ).",Why does Allik & McCrae agree?,"Studies have identified cultural differences in personality traits such as extraversion, agreeableness, and conscientiousness.","The modern sense of individual personality is a result of the shifts in culture originating in the Renaissance. In contrast, Eastern cultures value collectivism, cooperation, and social harmony.",The modern sense of individual personality is a result of the shifts in culture originating in the Renaissance.,The modern sense of individual personality is a result of the shifts in culture originating in the Renaissance.
Cause,"people interact and behave with others,",which can impact personality development,"Why do cultural norms, beliefs, and practices influence personality development?",People interact and behave with others.,People have unique words to describe emotion or situations.,People have different responses styles across cultures.,People have different senses of self.
Cause,"The five factors continued to be supported both conceptually and statistically across major regions of the world,",suggesting that these underlying factors are common across cultures.,Why are the five underlying constructs found in the American factor structure similar?,The five factors continued to be supported both conceptually and statistically across major regions of the world.,The five factors were administered in 56 nations across 28 languages.,The five factors were found to be universal across cultures.,The five factors were found to be universal across cultures.
Cause,that personality comes entirely from culture,and therefore there can be no meaningful study in cross - culture study.,Why can't there be any meaningful study in cross - culture study?,That personality comes entirely from culture.,That personality traits are not universal across cultures.,That the elements are not shared by all cultures.,That the elements are not universal across cultures.
Cause,"Intra - and intergroup processes, not dyadic relationships such as parent - child relationships, are responsible for the transmission of culture and for environmental modification of children's personality characteristics.","Thus, this theory points at the peer group representing the environmental influence on a child's personality rather than the parental style or home environment.",Why does the group socialization theory point at the peer group rather than the parental style or home environment?,"Intra - and intergroup processes, not dyadic relationships such as parent - child relationships, are responsible for the transmission of culture and for environmental modification of children's personality characteristics.","Intra - and intergroup processes, not dyadic relationships such as parent - child relationships, are responsible for the transmission of culture and for environmental modification of children's personality characteristics.","Intra - and intergroup processes, not dyadic relationships such as parent - child relationships, are responsible for the transmission of culture and for environmental modification of children's personality characteristics.","Intra - and intergroup processes, not dyadic relationships such as parent - child relationships, are responsible for the transmission of culture and for environmental modification of children's personality characteristics."
Cause,whereas extraverts seemed to experience lower levels of positive affect and suffered from the phenomenon of ego depletion.,"After acting extraverted, introverts'experience of positive affect increased",Why did extraverts experience lower levels of positive affect?,Extraverts seemed to experience lower levels of positive affect and suffered from the phenomenon of ego depletion.,Extraverts were more likely to experience episodes of depression.,Extraverts were more likely to suffer from the phenomenon of ego fatigue.,Extraverts were more likely to experience episodes of depression.
Cause,"but it changes much more quickly during childhood,",so personality constructs in children are referred to as temperament.,Why are personality constructs in children referred to as temperament?,It changes much more quickly during childhood.,It is regarded as the precursor to personality.,It exerts a greater influence on happiness levels.,It is stable over the course of a lifetime.
Cause,""" Each item should be influenced to a degree by the underlying trait construct,",giving rise to a pattern of positive intercorrelations so long as all items are oriented ( worded ) in the same direction.,Why can a pattern of positive intercorrelations be formed so long as all items are oriented in the same direction?,Each item should be influenced to a degree by the underlying trait construct.,The underlying trait construct is not a factor that determines personality.,The underlying trait construct is not a factor that determines personality.,The underlying trait construct is not a factor that determines personality.
Cause,"Due to the fact that personality is a complex idea,",the dimensions of personality and scales of such tests vary and often are poorly defined.,Why do the dimensions of personality and scales of such tests vary?,Due to the fact that personality is a complex idea.,Because there is no consensus definition of personality.,Because most theories view personality as relatively stable.,"Because the study of the psychology of personality, called personality psychology, attempts to explain the tendencies that underlie differences in behavior."
Explanation,"In other words, ideas of non - existent things are without meaning for Spinoza,",because an idea of a non - existent thing cannot exist.,Why were ideas of non existent things without meaning for Rationalist philosopher Benedictus Spinoza?,An idea of a non - existent thing cannot exist.,Ideas are the first element constituting the human mind.,An idea of a non - existent thing cannot exist.,An idea of a non - existent thing cannot exist.
Explanation,The active faculty mustn't be within self,"because ideas are produced without any awareness of them,",Why couldn't the active faculty be within self?,Ideas are produced without any awareness of them.,Ideas are produced and formed by one's will.,Ideas are produced against one's will.,Ideas are produced against one's will.
Explanation,that one immaterial spirit is the basis of the person,""" for fear of making brutes thinking things too.",Why didn't Descartes argue that one immaterial spirit was the basis of the person?,For fear of making brutes thinking things too.,Because he didn't want to make brutes thinking things too.,Because he didn't want to make brutes thinking things too.,Because he didn't want to make brutes thinking things too.
Explanation,that consciousness is personality,"because it "" always accompanies thinking,",Why does Locke believe consciousness is personality?,"It "" always accompanies thinking.",It is that which makes everyone to be what he calls self.,It is that which makes everyone to be what he calls self.,It is that which makes everyone to be what he calls self.
Explanation,which are reflected in personality traits such as agreeableness,"( Cheung et al., 2011 ).","Why do Eastern cultures value collectivism, cooperation, and social harmony in personality traits such as agreeableness?","( Cheung et al., 2011.",The modern sense of individual personality is a result of the shifts in culture originating in the Renaissance.,The modern sense of self was linked to a network of social roles.,The modern sense of individual personality is a result of the shifts in culture originating in the Renaissance.
Explanation,"people interact and behave with others, which can impact personality development","( Cheung et al., 2011 ).",Why did the five factors influence personality development?,"( Cheung et al., 2011.",They were supported conceptually and statistically.,They were used to describe emotion or situations.,They were used to study the five factors.
Explanation,"Examining personality questionnaires developed within a culture can also be useful evidence for the universality of traits across cultures,",as the same underlying factors can still be found.,Why can testing personality questionnaires within cultures be useful?,The same underlying factors can still be found.,Different cultures have unique words to describe emotion or situations.,Different cultures have different responses styles.,The same traits should be apparent in different cultures.
Explanation,"but they may be a consequence of using a lexical approach to study personality structures,",as language has limitations in translation and different cultures have unique words to describe emotion or situations.,Why are there differences in cultures when using a lexical approach to study personality structures?,Language has limitations in translation and different cultures have unique words to describe emotion or situations.,Different responses styles are different across cultures.,There are differences in the way people respond to each other.,There are differences in the way people respond to each other.
Explanation,"Similar results were found using the Big Five Inventory ( BFI ),",as it was administered in 56 nations across 28 languages.,Why was the Big Five Inventory ( BFI) used?,It was administered in 56 nations across 28 languages.,"It was administered to 7, 134 people across six languages.",It was supported conceptually and statistically across major regions of the world.,"It was administered to 7, 134 people across six languages."
Explanation,Some studies suggest that a shared family environment between siblings has less influence on personality than individual experiences of each child.,Identical twins have similar personalities largely because they share the same genetic makeup rather than their shared environment.,Why do some studies believe that a shared family environment has less influence on personality than individual experiences of each child?,Identical twins have similar personalities largely because they share the same genetic makeup rather than their shared environment.,Identical twins have similar personalities largely because they share the same genetic makeup rather than their shared environment.,Identical twins have similar personalities largely because they share the same genetic makeup rather than their shared environment.,Identical twins have similar personalities largely because they share the same genetic makeup rather than their shared environment.
Explanation,Identical twins have similar personalities,largely because they share the same genetic makeup rather than their shared environment.,Why do twins have similar personalities?,Because they share the same genetic makeup rather than their shared environment.,Because they are able to accumulate small daily experiences.,Because they have more influence on personality than individual experiences of each child.,Because they are confident in their day - to - day life.
Explanation,"the result is an inability to use any energy to make important or difficult decisions, plan for the future, control or regulate emotions, or perform effectively on other cognitive tasks.","Because all available energy is being used to maintain this contrary behavior,","Why is it difficult for people to make important or difficult decisions, plan for the future, or perform effectively on other cognitive tasks?",All available energy is being used to maintain this contrary behavior.,People have no ability to make important or difficult decisions.,People divert most of their energy toward regulating this foreign style of behavior.,People have no ability to make important or difficult decisions.
Explanation,All of these tests are beneficial,"because they have both reliability and validity, two factors that make a test accurate.",Why are these tests beneficial?,"They have both reliability and validity, two factors that make a test accurate.",They can help diagnose psychiatric disorders.,They can help explain the tendencies that underlie differences in behavior.,They can be used as a clinical measuring tool.
Contrast,"except insofar as it perceives the "" ideas of the modifications of body "", in describing its external perceptions, or perceptions from without.","On the contrary, from within, Spinoza argued, perceptions connect various ideas clearly and distinctly.",How does Spinoza believe the mind can be different?,"Except insofar as it perceives the "" ideas of the modifications of body "", in describing its external perceptions, or perceptions from without. On the contrary, from within, Spinoza argued, perceptions connect various ideas clearly and distinctly.","Except insofar as it perceives the "" ideas of the modifications of body "", in describing its external perceptions, or perceptions from within. On the contrary, from within, Spinoza argued, perceptions connect various ideas clearly and distinctly.","Except insofar as it perceives the "" ideas of the modifications of body "", in describing its external perceptions, or perceptions from within. On the contrary, from within, Spinoza argued, perceptions connect various ideas clearly and distinctly.","Except insofar as it perceives the "" ideas of the modifications of body "", in describing its external perceptions, or perceptions from within. On the contrary, Spinoza argued, perceptions connect various ideas clearly and distinctly."
Contrast,"Rationalist philosopher Benedictus Spinoza ( 1632 - 1677 ) argued that ideas are the first element constituting the human mind,",but existed only for actually existing things.,How did Spinoza view the concept of what makes people different?,But ideas existed only for actually existing things. Rationalist philosopher Benedictus Spinoza ( 1632 - 1677 ) argued that ideas are the first element constituting the human mind.,But ideas existed only for non - existent things. Rationalist philosopher Benedictus Spinoza argued that ideas are the first element constituting the human mind.,But ideas existed only for actual things. Rationalist philosopher Benedictus Spinoza argued that ideas are the first element constituting the human mind.,But ideas existed only for actual things.
Contrast,"whereas the active faculty produces and forms ideas, but does not presuppose thought, and thus cannot be within the thinking thing.","The passive faculty, Descartes argued, simply receives,",How did Descartes explain how the passive and active faculties of mind are different?,"The passive faculty, Descartes argued, simply receives, whereas the active faculty produces and forms ideas, but does not presuppose thought, and thus cannot be within the thinking thing.","The passive faculty, Descartes argued, simply receives, whereas the active faculty produces and forms ideas, but does not presuppose thought, and thus cannot be within the thinking thing.","The passive faculty, Descartes argued, simply receives, whereas the active faculty produces and forms ideas, but does not presuppose thought, and thus cannot be within the thinking thing.","The passive faculty, Descartes argued, simply receives, whereas the active faculty produces and forms ideas, but does presuppose thought, and thus cannot be within the thinking thing."
Contrast,his argument was sufficient,but not compelling.,How did Hume feel about the argument that made the two things different?,His argument was sufficient but not compelling.,He thought it necessary to exclude personal identity from his opus.,He thought it necessary to explain the cohesion of inner lives.,He thought it necessary to explain the difference between the two.
